Id_Makanan,Nama_Makanan,Kalori,Protein(g),Lemak(g),Sodium(mg),Alamat Web Nutrisi,Alamat Web Resep,Kering / Kuah,Manis / Asin,Pedas / Tidak,Vegetarian / Seafood / Daging ,Halal / Tidak
1,Oatmeal Instan (100 g),91,"2,46","1,2",122,"https://www.fatsecret.co.id/kalori-gizi/umum/oatmeal-instan?portionid=53170&portionamount=100,000",https://www.sehatq.com/review/variasi-resep-oatmeal-antibosan-untuk-turunkan-berat-badan,Kuah,Manis,Tidak,Vegetarian,Halal
2,Ketoprak-Bumbu Kacang (1 Porsi) ,402,"15,59","15,34",391,https://www.fatsecret.co.id/kalori-gizi/umum/ketoprak,https://cookpad.com/id/resep/3174265-ketoprak-sehat?ref=search&search_term=ketoprak%20sehat,Kering,Asin,Pedas,Vegetarian,Halal
3,Bubur Kacang Hijau (1 Porsi),108,"3,54","3,06",46,https://www.fatsecret.co.id/kalori-gizi/umum/bubur-kacang-hijau,https://endeus.tv/resep/bubur-kacang-hijau-tanpa-santan-menu-sarapan-sehat,Kuah,Manis,Tidak,Vegetarian,Halal
4,Ikan Panggang (1 Porsi),142,"24,79","3,89",402,https://www.fatsecret.co.id/kalori-gizi/umum/ikan-panggang,https://hellosehat.com/nutrisi/resep-sehat/aneka-resep-ikan-bakar/,Kering,Manis/Asin,Pedas,Seafood,Halal
5,Ayam Panggang (1 Porsi - 85 g),201,"23,01","11,46",344,"https://www.fatsecret.co.id/kalori-gizi/umum/ayam-panggang?portionid=477442&portionamount=1,000",https://cookpad.com/id/resep/2264761-dada-ayam-panggang-sehat,Kering,Manis/Asin,Pedas,Daging,Halal
6,Tofu,100,11,11,17.6,https://www.verywellfit.com/tofu-nutrition-facts-calories-and-health-benefits-4113988,https://cookpad.com/id/cari/tahu,Kuah,Asin,Pedas,Vegetarian,Halal
7,Urap Sayur(100 g),112,"2,32","7,65",251,https://www.fatsecret.co.id/kalori-gizi/umum/urap,https://cookpad.com/id/resep/11485596-urap-sayur-sehat-simpel-enak?ref=search&search_term=urap%20sayuran%20sehat%20dan%20sederhana,Kering,Asin,Pedas,Vegetarian,Halal
8,Nasi Merah (100 g),110,"2,56","0,89",301,https://www.fatsecret.co.id/kalori-gizi/umum/nasi-merah,https://cookpad.com/id/resep/16927984-resep-nasi-merah-pedas?ref=search&search_term=nasi%20beras%20merah,Kering,Manis,Tidak,Vegetarian,Halal
9,Kacang Panggang (100 g),151,"5,54","5,15",422,https://www.fatsecret.co.id/kalori-gizi/umum/kacang-panggang,https://endeus.tv/resep/kacang-panggang-bawang-putih-pasti-sedap,Kering,Asin,Tidak,Vegetarian,Halal
10,Pisang (1 Potong),112,"1,37","0,42",1,"https://www.fatsecret.co.id/kalori-gizi/umum/pisang?portionid=32981&portionamount=1,000",https://cookpad.com/id/cari/pisang,Kering,Manis,Tidak,Vegetarian,Halal
11,Babi Panggang (100 g),247,"26,98","14,59",221,https://www.fatsecret.co.id/kalori-gizi/umum/daging-babi-panggang,https://cookpad.com/id/resep/16936711-babi-panggang-endes?ref=search&search_term=babi%20panggang,Kering,Asin,Pedas,Daging,Haram
12,Udang Panggang (100 g),154,"24,47","5,03",512,https://www.fatsecret.co.id/kalori-gizi/umum/udang-panggang,https://cookpad.com/id/resep/3801758-udang-bakar-kecap-versi-teflon,Kering,Asin,Pedas,Seafood,Halal
13,Cumi Asin (100 g),195,"42,16","1,59",4717,https://www.fatsecret.co.id/kalori-gizi/search?q=cumi,https://cookpad.com/id/cari/cumi-cumi,Kuah,Manis/Asin,Pedas,Seafood,Halal
14,Siomay Ikan (100 g),160,10,5,1290,https://www.fatsecret.co.id/kalori-gizi/minaku/siomay-ikan/100g,https://cookpad.com/id/resep/16812494-204siomay-bandung-ikan-tengiri?ref=search&search_term=siomay%20ikan,Kering,Asin,Tidak,Seafood,Halal
15,Siomay Ayam (100 g),200,13,9,600,https://www.fatsecret.co.id/kalori-gizi/fiesta/siomay-ayam/100g,https://cookpad.com/id/resep/16902777-somay-ayam-bandung?ref=search&search_term=siomay%20ayam,Kering,Asin,Tidak,Daging,Halal
16,Kepiting Panggang (100 g),136,"18,91","6,24","5,39","https://www.fatsecret.co.id/kalori-gizi/umum/kepiting-panggang?portionid=50829&portionamount=100,000",https://cookpad.com/id/resep/7201091-kepiting-panggang,Kering,Asin,Pedas,Seafood,Halal
17,Kerang Dara (100 g),148,"26,17","2,1",134,https://www.fatsecret.co.id/kalori-gizi/umum/kerang-dara,https://www.masakapahariini.com/resep/resep-kerang-dara-saus-pedas/,Kering,Asin,Tidak,Seafood,Halal
18,Wafel Polos (100 g),310,"7,3","9,55",720,https://www.fatsecret.co.id/kalori-gizi/umum/wafel-polos-tawar,https://foodnetwork-co-uk.translate.goog/recipes/plain-waffles?_x_tr_sl=en&_x_tr_tl=id&_x_tr_hl=id&_x_tr_pto=tc,Kering,Manis,Tidak,Vegetarian,Halal
19,Gado-Gado (100 g),132,"7,14","7,41",126,https://www.fatsecret.co.id/kalori-gizi/umum/gado-gado,https://cookpad.com/id/resep/16941254-gado-gado-super?ref=search&search_term=gado-gado,Kering,Asin,Pedas,Vegetarian,Halal
20,Tumis Daun Pepaya (100 g),95,"8,05",2,213,https://www.fatsecret.co.id/kalori-gizi/umum/tumis-daun-pepaya,https://cookpad.com/id/resep/16941164-tumis-daun-pepaya-teri?ref=search&search_term=tumis%20daun%20pepaya,Kering,Asin,Tidak,Vegetarian,Halal
21,Tumis Brokoli (1 Porsi),79,"3,49","0,52",130,https://www.fatsecret.co.id/resep/62145571-tumis-brokoli/Default.aspx,https://www.fatsecret.co.id/resep/62145571-tumis-brokoli/Default.aspx,Kering,Asin,Tidak,Vegetarian,Halal
22,Beef Patty_Roti Daging (1 Porsi),230,"18,88","13,69",582,https://www.fatsecret.co.id/resep/61739734-beef-patty/Default.aspx,https://www.fatsecret.co.id/resep/61739734-beef-patty/Default.aspx,Kering,Asin,Tidak,Daging,Halal
23,Tahu Telur (1 Porsi),203,"14,7","14,97",2413,https://www.fatsecret.co.id/resep/61518413-tahu-telur/Default.aspx,https://www.fatsecret.co.id/resep/61518413-tahu-telur/Default.aspx,Kering,Asin,Pedas,Vegetarian,Halal
24,Jagung Manis Kuning (100 g),86,"3,22","1,18",15,"https://www.fatsecret.co.id/kalori-gizi/umum/jagung-manis-kuning?portionid=59083&portionamount=100,000",https://cookpad.com/id/resep/16887047-bubur-gurih-jagung-labu-kuning-creamy-corn-pumpkin-porridge?ref=search&search_term=olahan%20jagung%20kuning,Kering,Manis,Tidak,Vegetarian,Halal
25,Bubur Jagung (1 Porsi),73,"1,72","0,23",212,"https://www.fatsecret.co.id/kalori-gizi/umum/bubur-jagung?portionid=16510&portionamount=1,000",https://www.frisianflag.com/resep-kami/resep-dengan-kental-manis/bubur-jagung-manis,Kuah,Manis,Tidak,Vegetarian,Halal
26,Roti Gandum Panggang (1 Porsi),68,"2,39","1,06",138,"https://www.fatsecret.co.id/kalori-gizi/umum/roti-gandum-panggang?portionid=13779&portionamount=1,000",https://cookpad.com/id/resep/15883442-roti-gandum-panggang-keju?ref=search&search_term=roti%20gandum%20panggang,Kering,Manis,Tidak,Vegetarian,Halal
